unique_id,is_best,name,origin,destination,departure time,arrival time,duration,stops,price,dis_from_origin,dis_from_dest,departure_dt,departure_seconds,arrival_dt,arrival_seconds,duration_min
ORD_EWR78,False,United,ORD,EWR,"7:54 PM on Fri, Oct 10","9:48 AM on Sat, Oct 11",12 hr 54 min,1,614,0.2460643477547049,20.703705626728063,1900-10-10 19:54:00,3441240.0,1900-10-11 09:48:00,3491280.0,774
ORD_EWR79,False,United,ORD,EWR,"7:54 PM on Fri, Oct 10","1:50 PM on Sat, Oct 11",16 hr 56 min,1,614,0.2460643477547049,20.703705626728063,1900-10-10 19:54:00,3441240.0,1900-10-11 13:50:00,3505800.0,1016
ORD_EWR80,False,United,ORD,EWR,"9:30 PM on Fri, Oct 10","8:33 AM on Sat, Oct 11",10 hr 3 min,1,614,0.2460643477547049,20.703705626728063,1900-10-10 21:30:00,3447000.0,1900-10-11 08:33:00,3486780.0,603
ORD_EWR81,False,United,ORD,EWR,"9:30 PM on Fri, Oct 10","9:48 AM on Sat, Oct 11",11 hr 18 min,1,614,0.2460643477547049,20.703705626728063,1900-10-10 21:30:00,3447000.0,1900-10-11 09:48:00,3491280.0,678
ORD_EWR82,False,United,ORD,EWR,"9:30 PM on Fri, Oct 10","1:50 PM on Sat, Oct 11",15 hr 20 min,1,614,0.2460643477547049,20.703705626728063,1900-10-10 21:30:00,3447000.0,1900-10-11 13:50:00,3505800.0,920
ORD_EWR83,False,United,ORD,EWR,"9:30 PM on Fri, Oct 10","4:05 PM on Sat, Oct 11",17 hr 35 min,1,614,0.2460643477547049,20.703705626728063,1900-10-10 21:30:00,3447000.0,1900-10-11 16:05:00,3513900.0,1055
ORD_EWR84,False,United,ORD,EWR,"6:00 AM on Fri, Oct 10","6:30 PM on Fri, Oct 10",11 hr 30 min,1,616,0.2460643477547049,20.703705626728063,1900-10-10 06:00:00,3391200.0,1900-10-10 18:30:00,3436200.0,690
ORD_EWR85,False,United,ORD,EWR,"7:13 AM on Fri, Oct 10","6:30 PM on Fri, Oct 10",10 hr 17 min,1,616,0.2460643477547049,20.703705626728063,1900-10-10 07:13:00,3395580.0,1900-10-10 18:30:00,3436200.0,617
ORD_EWR86,False,American,ORD,EWR,"9:43 PM on Fri, Oct 10","9:54 AM on Sat, Oct 11",11 hr 11 min,2,623,0.2460643477547049,20.703705626728063,1900-10-10 21:43:00,3447780.0,1900-10-11 09:54:00,3491640.0,671
ORD_EWR87,False,United,ORD,EWR,"4:00 PM on Fri, Oct 10","7:27 PM on Fri, Oct 10",2 hr 27 min,0,640,0.2460643477547049,20.703705626728063,1900-10-10 16:00:00,3427200.0,1900-10-10 19:27:00,3439620.0,147
ORD_EWR88,False,United,ORD,EWR,"8:05 PM on Fri, Oct 10","3:36 PM on Sat, Oct 11",18 hr 31 min,1,641,0.2460643477547049,20.703705626728063,1900-10-10 20:05:00,3441900.0,1900-10-11 15:36:00,3512160.0,1111
ORD_EWR89,False,United,ORD,EWR,"9:37 PM on Fri, Oct 10","8:53 AM on Sat, Oct 11",10 hr 16 min,1,641,0.2460643477547049,20.703705626728063,1900-10-10 21:37:00,3447420.0,1900-10-11 08:53:00,3487980.0,616
ORD_EWR90,False,United,ORD,EWR,"9:37 PM on Fri, Oct 10","3:36 PM on Sat, Oct 11",16 hr 59 min,1,641,0.2460643477547049,20.703705626728063,1900-10-10 21:37:00,3447420.0,1900-10-11 15:36:00,3512160.0,1019
